zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
36603,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36601,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36608,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36609,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35490,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36091,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36875,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36874,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36877,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36871,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36870,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36872,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36688,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36689,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36445,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35203,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35202,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35201,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35206,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35205,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35204,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35209,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35208,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35246,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35049,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35048,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35044,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35046,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35040,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35043,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35042,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35593,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35592,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35594,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36769,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36764,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36766,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35901,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35902,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35903,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35904,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35905,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35906,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35907,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36352,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35288,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35283,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35282,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35287,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35285,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36258,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36254,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36257,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36251,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36250,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36253,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35980,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35987,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36045,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36046,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35161,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35005,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35004,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35006,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36722,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
